provider_code,code_year,provider_name,attrition_rate
1019,1019-2012,James Cook University,20.2
1034,1034-2012,Murdoch University,16.56
1055,1055-2012,The University of Western Australia,8.14
1058,1058-2012,University of Wollongong,10.13
2148,2148-2012,The National Institute of Dramatic Art,6.06
2154,2154-2012,Federation University Australia,19.65
2170,2170-2012,Marcus Oldham College,4.96
2177,2177-2012,Swinburne University of Technology,15.19
2200,2200-2012,CQUniversity,22.44
2201,2201-2012,University of Southern Queensland,24.02
2235,2235-2012,Edith Cowan University,17.97
2236,2236-2012,Curtin University,13.44
2241,2241-2012,University of Canberra,13.84
2246,2246-2012,Batchelor Institute of Indigenous Tertiary Education,38.22
2252,2252-2012,Avondale College of Higher Education,18.2
2271,2271-2012,"Australian Film, Television and Radio School",3.07
3001,3001-2012,Charles Darwin University,27.41
3003,3003-2012,Bond University,10.3
3004,3004-2012,Western Sydney University,12.29
3005,3005-2012,Charles Sturt University,21.24
3006,3006-2012,Australian Catholic University,14.18
3007,3007-2012,Victoria University,15.4
3010,3010-2012,The University of Adelaide,9.68
3013,3013-2012,University of New South Wales,8.61
3014,3014-2012,The University of Newcastle,14.65
3016,3016-2012,University of Technology Sydney,9.27
3019,3019-2012,The University of Queensland,8.78
3020,3020-2012,La Trobe University,11.76
3025,3025-2012,Macquarie University,10.56
3027,3027-2012,University of South Australia,16.3
3029,3029-2012,Flinders University,14.81
3030,3030-2012,Deakin University,12.67
3032,3032-2012,Griffith University,12.73
3033,3033-2012,The Australian National University,8.59
3034,3034-2012,RMIT University,11.1
3035,3035-2012,Monash University,9.09
3036,3036-2012,The University of Melbourne,6.88
3038,3038-2012,Southern Cross University,22.61
3039,3039-2012,The University of New England,21.19
3040,3040-2012,The University of Sydney,6.93
3042,3042-2012,Queensland University of Technology,11.22
3043,3043-2012,University of the Sunshine Coast,19.99
3044,3044-2012,The University of Notre Dame Australia,13.37
3045,3045-2012,University of Tasmania,24.61
4331,4331-2012,University of Divinity,24.2
4332,4332-2012,Sydney College of Divinity,30.22
4333,4333-2012,Christian Heritage College,25.05
4334,4334-2012,Tabor Adelaide,25.91
4335,4335-2012,Australian College of Theology,26.78
4336,4336-2012,Australian College of Applied Psychology,43.18
4337,4337-2012,Eastern College Australia,30.68
4338,4338-2012,Moore Theological College,16.54
4339,4339-2012,Holmes Institute,29.73
4340,4340-2012,Monash College,17.12
4341,4341-2012,Harvest Bible College,24.64
4342,4342-2012,Australian Lutheran College,36.71
4343,4343-2012,Australian Institute of Music,25.16
4344,4344-2012,South Aust Institute of Business & Technology,26.98
4346,4346-2012,Excelsia College,10.98
4348,4348-2012,Deakin College,19.95
4349,4349-2012,Sydney Institute of Business and Technology,10.19
4350,4350-2012,Queensland Institute of Business and Technology,20.72
4351,4351-2012,Navitas College of Public Safety Pty Ltd,30.56
4352,4352-2012,The Australian College of Physical Education,25.59
4354,4354-2012,Oceania Polytechnic,81.58
4355,4355-2012,Adelaide College of Divinity,23.91
4357,4357-2012,Blue Mountains Intl Hotel Management School,11.52
4358,4358-2012,East Coast Gestalt Training Incorporated,69.23
4359,4359-2012,The College of Law,13.75
4360,4360-2012,Perth Bible College,38.24
4361,4361-2012,Endeavour College of Natural Health,37.3
4362,4362-2012,International College of Hotel Management,4.21
4363,4363-2012,Northern Melbourne Institute of TAFE,33.25
4364,4364-2012,Edith Cowan College,13.91
4365,4365-2012,Curtin College,24.62
4366,4366-2012,Box Hill Institute,25.52
4367,4367-2012,Melbourne Institute of Technology,25.4
4368,4368-2012,Campion College,16.13
4370,4370-2012,Tabor College Tasmania,36.96
4371,4371-2012,SAE Creative Media Institute,26.78
4372,4372-2012,The Gordon,0
4373,4373-2012,Jansen Newman Institute Pty. Limited,50
4374,4374-2012,Carnegie Mellon University Australia,4.82
4375,4375-2012,Think: Colleges Pty Ltd,34.77
4377,4377-2012,UOW College,13.89
4378,4378-2012,JMC Academy,29.15
4380,4380-2012,UTS:INSEARCH,14.96
4381,4381-2012,"International College of Management, Sydney",16.92
4382,4382-2012,Australian Guild of Music Education Inc.,27.27
4383,4383-2012,Holmesglen Institute of TAFE,30.69
4384,4384-2012,Kaplan Business School,28.67
4385,4385-2012,Polytechnic West,29.52
4386,4386-2012,Macleay College,24.09
4387,4387-2012,Raffles College of Design and Commerce,11.07
4388,4388-2012,Australian Academy of Music and Performing Arts,34.15
4389,4389-2012,Cairnmillar Institute School,19.64
4391,4391-2012,Eynesbury,16.08
4392,4392-2012,Gestalt Therapy Brisbane,9.09
4393,4393-2012,MIECAT,29.51
4394,4394-2012,William Angliss Institute of TAFE,26.02
4395,4395-2012,Adelaide Central School of Art,41.07
