ref_year,provider_code,code_year,provider_name,citizenship,success_rate
2011,1019,1019-2011,James Cook University,International,85.78
2011,1034,1034-2011,Murdoch University,International,86.56
2011,1055,1055-2011,The University of Western Australia,International,92.78
2011,1058,1058-2011,University of Wollongong,International,88.17
2011,2148,2148-2011,The National Institute of Dramatic Art,International,100
2011,2154,2154-2011,Federation University Australia,International,82.23
2011,2177,2177-2011,Swinburne University of Technology,International,82.3
2011,2200,2200-2011,CQUniversity,International,81.78
2011,2201,2201-2011,University of Southern Queensland,International,84.21
2011,2235,2235-2011,Edith Cowan University,International,86.24
2011,2236,2236-2011,Curtin University,International,87.74
2011,2241,2241-2011,University of Canberra,International,83.16
2011,2252,2252-2011,Avondale College of Higher Education,International,90.53
2011,3001,3001-2011,Charles Darwin University,International,86.37
2011,3003,3003-2011,Bond University,International,87.11
2011,3004,3004-2011,Western Sydney University,International,84.99
2011,3005,3005-2011,Charles Sturt University,International,76.07
2011,3006,3006-2011,Australian Catholic University,International,90.38
2011,3007,3007-2011,Victoria University,International,85.07
2011,3010,3010-2011,The University of Adelaide,International,89.54
2011,3013,3013-2011,University of New South Wales,International,92.91
2011,3014,3014-2011,The University of Newcastle,International,88.05
2011,3016,3016-2011,University of Technology Sydney,International,88.96
2011,3019,3019-2011,The University of Queensland,International,92.53
2011,3020,3020-2011,La Trobe University,International,87.2
2011,3025,3025-2011,Macquarie University,International,83.13
2011,3027,3027-2011,University of South Australia,International,88.45
2011,3029,3029-2011,Flinders University,International,89.92
2011,3030,3030-2011,Deakin University,International,81.84
2011,3032,3032-2011,Griffith University,International,90.33
2011,3033,3033-2011,The Australian National University,International,94.05
2011,3034,3034-2011,RMIT University,International,87.5
2011,3035,3035-2011,Monash University,International,90.5
2011,3036,3036-2011,The University of Melbourne,International,95
2011,3038,3038-2011,Southern Cross University,International,83.21
2011,3039,3039-2011,The University of New England,International,83.58
2011,3040,3040-2011,The University of Sydney,International,90.77
2011,3042,3042-2011,Queensland University of Technology,International,91.41
2011,3043,3043-2011,University of the Sunshine Coast,International,93.11
2011,3044,3044-2011,The University of Notre Dame Australia,International,91.38
2011,3045,3045-2011,University of Tasmania,International,87.22
2011,4331,4331-2011,University of Divinity,International,93.84
2011,4332,4332-2011,Sydney College of Divinity,International,91.92
2011,4333,4333-2011,Christian Heritage College,International,77.22
2011,4334,4334-2011,Tabor Adelaide,International,100
2011,4335,4335-2011,Australian College of Theology,International,91.2
2011,4336,4336-2011,Australian College of Applied Psychology,International,91.5
2011,4337,4337-2011,Eastern College Australia,International,83.33
2011,4338,4338-2011,Moore Theological College,International,90.81
2011,4339,4339-2011,Holmes Institute,International,67.08
2011,4340,4340-2011,Monash College,International,81.74
2011,4341,4341-2011,Harvest Bible College,International,86.6
2011,4342,4342-2011,Australian Lutheran College,International,100
2011,4343,4343-2011,Australian Institute of Music,International,100
2011,4344,4344-2011,South Aust Institute of Business & Technology,International,68.69
2011,4346,4346-2011,Excelsia College,International,96.88
2011,4348,4348-2011,Deakin College,International,65.39
2011,4349,4349-2011,Sydney Institute of Business and Technology,International,72.91
2011,4350,4350-2011,Queensland Institute of Business and Technology,International,78.67
2011,4351,4351-2011,Navitas College of Public Safety Pty Ltd,International,100
2011,4352,4352-2011,The Australian College of Physical Education,International,91.11
2011,4357,4357-2011,Blue Mountains Intl Hotel Management School,International,100
2011,4359,4359-2011,The College of Law,International,63.76
2011,4360,4360-2011,Perth Bible College,International,75.22
2011,4361,4361-2011,Endeavour College of Natural Health,International,93.65
2011,4362,4362-2011,International College of Hotel Management,International,95.93
2011,4363,4363-2011,Northern Melbourne Institute of TAFE,International,77.9
2011,4364,4364-2011,Edith Cowan College,International,71.58
2011,4365,4365-2011,Curtin College,International,75.29
2011,4366,4366-2011,Box Hill Institute,International,82.15
2011,4367,4367-2011,Melbourne Institute of Technology,International,80.33
2011,4368,4368-2011,Campion College,International,92.06
2011,4371,4371-2011,SAE Creative Media Institute,International,78.72
2011,4373,4373-2011,Jansen Newman Institute Pty. Limited,International,100
2011,4374,4374-2011,Carnegie Mellon University Australia,International,99.49
2011,4375,4375-2011,Think: Colleges Pty Ltd,International,89.36
2011,4376,4376-2011,Nature Care College,International,98.73
2011,4377,4377-2011,UOW College,International,67.47
2011,4378,4378-2011,JMC Academy,International,90.64
2011,4380,4380-2011,UTS:INSEARCH,International,85.57
2011,4381,4381-2011,"International College of Management, Sydney",International,81.34
2011,4383,4383-2011,Holmesglen Institute of TAFE,International,77.81
2011,4384,4384-2011,Kaplan Business School,International,74.66
2011,4385,4385-2011,Polytechnic West,International,77.11
2011,4386,4386-2011,Macleay College,International,100
