ref_year,provider_code,code_year,provider_name,tab1_academic_FTE,tab2_academic_FTE,tab3_senior_FTE,tab3_senior_headcount_mod,tab3_senior_headcount
2011,1019,1019-2011,James Cook University,836.4,720.97,188.59,211,211
2011,1034,1034-2011,Murdoch University,687.2,529.91,141.96,152,152
2011,1055,1055-2011,The University of Western Australia,1526.37,1422.72,454.19,494,494
2011,1058,1058-2011,University of Wollongong,1226.2,935.81,268.89,293,293
2011,2154,2154-2011,Federation University Australia,299,234.7,42.5,45,45
2011,2177,2177-2011,Swinburne University of Technology,843.06,615.6,149.45,159,159
2011,2200,2200-2011,CQUniversity,453.93,395.75,80.45,84,84
2011,2201,2201-2011,University of Southern Queensland,636.35,442.14,93.8,96,96
2011,2235,2235-2011,Edith Cowan University,712.14,556.81,101.9,108,108
2011,2236,2236-2011,Curtin University,1739.7,1366.59,384.2,407,407
2011,2241,2241-2011,University of Canberra,496.96,378.51,112.71,121,121
2011,2246,2246-2011,Batchelor Institute of Indigenous Tertiary Education,52.96,52.96,1,1,<5
2011,2252,2252-2011,Avondale College of Higher Education,93.37,68.98,8,8,8
2011,3001,3001-2011,Charles Darwin University,285.41,235.34,48.52,56,56
2011,3003,3003-2011,Bond University,418.52,286.14,140.99,155,155
2011,3004,3004-2011,Western Sydney University,1331.29,905.98,198.6,214,214
2011,3005,3005-2011,Charles Sturt University,962.78,784.62,134.2,148,148
2011,3006,3006-2011,Australian Catholic University,865.23,545.3,135.78,139,139
2011,3007,3007-2011,Victoria University,811.67,604.44,117.45,130,130
2011,3010,3010-2011,The University of Adelaide,1657.21,1372.95,377.24,400,400
2011,3013,3013-2011,University of New South Wales,3218.27,2621,749.92,1445,1445
2011,3014,3014-2011,The University of Newcastle,1263.49,966.9,238.65,250,250
2011,3016,3016-2011,University of Technology Sydney,1327.79,932.14,246.06,262,262
2011,3019,3019-2011,The University of Queensland,3194.5,2743.21,721.91,782,782
2011,3020,3020-2011,La Trobe University,1601.14,1213.77,251.45,284,284
2011,3025,3025-2011,Macquarie University,1307.66,967.86,296.34,329,329
2011,3027,3027-2011,University of South Australia,1477.09,1101.58,218.93,230,230
2011,3029,3029-2011,Flinders University,938.49,768.36,227.59,243,243
2011,3030,3030-2011,Deakin University,1588.68,1209.54,252.5,262,262
2011,3032,3032-2011,Griffith University,1825.9,1374.56,369.4,384,384
2011,3033,3033-2011,The Australian National University,1759.88,1557.84,548,578,578
2011,3034,3034-2011,RMIT University,1689.48,1065.65,258.31,268,268
2011,3035,3035-2011,Monash University,3532.86,2760.24,680.98,754,754
2011,3036,3036-2011,The University of Melbourne,3448.42,2923.22,820.62,879,879
2011,3038,3038-2011,Southern Cross University,476.35,331.85,71.1,79,79
2011,3039,3039-2011,The University of New England,520.43,444.32,106.47,111,111
2011,3040,3040-2011,The University of Sydney,3420.85,2751.68,857.59,930,930
2011,3042,3042-2011,Queensland University of Technology,1848.89,1336.86,381.99,681,681
2011,3043,3043-2011,University of the Sunshine Coast,307.08,216.21,47.9,52,52
2011,3044,3044-2011,The University of Notre Dame Australia,561.44,242.19,72.1,104,104
2011,3045,3045-2011,University of Tasmania,1202.34,1036.87,216.13,235,235
2011,4331,4331-2011,University of Divinity,71.58,67.76,8.2,11,11
2012,1019,1019-2012,James Cook University,847.92,720.85,207.33,228,228
2012,1034,1034-2012,Murdoch University,708.97,527.97,141.78,149,149
2012,1055,1055-2012,The University of Western Australia,1630.16,1515.52,480.17,523,523
2012,1058,1058-2012,University of Wollongong,1232.55,965.79,281.19,306,306
