ref_year,provider_code,code_year,provider_name,Course_level,primary_BFOE,citizenship,EFTSL
2012,1019,1019-2012,James Cook University,Postgrad by course,01 Natural and Physical Sciences,Domestic,72.625
2012,1019,1019-2012,James Cook University,Postgrad by course,02 Information Technology,Domestic,2.25
2012,1019,1019-2012,James Cook University,Postgrad by course,04 Architecture and Building,Domestic,1.625
2012,1019,1019-2012,James Cook University,Postgrad by course,06 Health,Domestic,375.25
2012,1019,1019-2012,James Cook University,Postgrad by course,07 Education,Domestic,94
2012,1019,1019-2012,James Cook University,Postgrad by course,08 Management and Commerce,Domestic,84.75
2012,1019,1019-2012,James Cook University,Postgrad by course,09 Society and Culture,Domestic,146.2916667
2012,1019,1019-2012,James Cook University,Postgrad by course,10 Creative Arts,Domestic,1.75
2012,1019,1019-2012,James Cook University,Undergrad,01 Natural and Physical Sciences,Domestic,930.5
2012,1019,1019-2012,James Cook University,Undergrad,02 Information Technology,Domestic,152
2012,1019,1019-2012,James Cook University,Undergrad,03 Engineering and Related Technologies,Domestic,462.875
2012,1019,1019-2012,James Cook University,Undergrad,04 Architecture and Building,Domestic,76.625
2012,1019,1019-2012,James Cook University,Undergrad,"05 Agriculture, Environmental and Related Studies",Domestic,29.875
2012,1019,1019-2012,James Cook University,Undergrad,06 Health,Domestic,3465.25
2012,1019,1019-2012,James Cook University,Undergrad,07 Education,Domestic,948.375
2012,1019,1019-2012,James Cook University,Undergrad,08 Management and Commerce,Domestic,878.75
2012,1019,1019-2012,James Cook University,Undergrad,09 Society and Culture,Domestic,1626.125
2012,1019,1019-2012,James Cook University,Undergrad,10 Creative Arts,Domestic,393
2012,1019,1019-2012,James Cook University,Postgrad by course,01 Natural and Physical Sciences,International,144.875
2012,1019,1019-2012,James Cook University,Postgrad by course,02 Information Technology,International,81
2012,1019,1019-2012,James Cook University,Postgrad by course,04 Architecture and Building,International,2.875
2012,1019,1019-2012,James Cook University,Postgrad by course,06 Health,International,22
2012,1019,1019-2012,James Cook University,Postgrad by course,07 Education,International,2.625
2012,1019,1019-2012,James Cook University,Postgrad by course,08 Management and Commerce,International,385.125
2012,1019,1019-2012,James Cook University,Postgrad by course,09 Society and Culture,International,26.16666667
2012,1019,1019-2012,James Cook University,Postgrad by course,10 Creative Arts,International,1.5
2012,1019,1019-2012,James Cook University,Undergrad,01 Natural and Physical Sciences,International,109.375
2012,1019,1019-2012,James Cook University,Undergrad,02 Information Technology,International,32.25
2012,1019,1019-2012,James Cook University,Undergrad,03 Engineering and Related Technologies,International,25.25
2012,1019,1019-2012,James Cook University,Undergrad,04 Architecture and Building,International,0.5
2012,1019,1019-2012,James Cook University,Undergrad,"05 Agriculture, Environmental and Related Studies",International,1.625
2012,1019,1019-2012,James Cook University,Undergrad,06 Health,International,197.125
2012,1019,1019-2012,James Cook University,Undergrad,07 Education,International,8.125
2012,1019,1019-2012,James Cook University,Undergrad,08 Management and Commerce,International,451.375
2012,1019,1019-2012,James Cook University,Undergrad,09 Society and Culture,International,49.5
2012,1019,1019-2012,James Cook University,Undergrad,10 Creative Arts,International,12.125
2012,1034,1034-2012,Murdoch University,Postgrad by course,01 Natural and Physical Sciences,Domestic,15.24999997
2012,1034,1034-2012,Murdoch University,Postgrad by course,02 Information Technology,Domestic,15.16666661
2012,1034,1034-2012,Murdoch University,Postgrad by course,03 Engineering and Related Technologies,Domestic,37.16666654
2012,1034,1034-2012,Murdoch University,Postgrad by course,04 Architecture and Building,Domestic,0.333333332
2012,1034,1034-2012,Murdoch University,Postgrad by course,"05 Agriculture, Environmental and Related Studies",Domestic,41.29166655
2012,1034,1034-2012,Murdoch University,Postgrad by course,06 Health,Domestic,48.74999983
2012,1034,1034-2012,Murdoch University,Postgrad by course,07 Education,Domestic,299.8749993
2012,1034,1034-2012,Murdoch University,Postgrad by course,08 Management and Commerce,Domestic,173.5833326
2012,1034,1034-2012,Murdoch University,Postgrad by course,09 Society and Culture,Domestic,256.3333326
2012,1034,1034-2012,Murdoch University,Postgrad by course,10 Creative Arts,Domestic,11.99999997
2012,1034,1034-2012,Murdoch University,Undergrad,01 Natural and Physical Sciences,Domestic,1064.424998
2012,1034,1034-2012,Murdoch University,Undergrad,02 Information Technology,Domestic,290.9583327
2012,1034,1034-2012,Murdoch University,Undergrad,03 Engineering and Related Technologies,Domestic,313.8333327
2012,1034,1034-2012,Murdoch University,Undergrad,04 Architecture and Building,Domestic,2.666666656
2012,1034,1034-2012,Murdoch University,Undergrad,"05 Agriculture, Environmental and Related Studies",Domestic,249.2124994
2012,1034,1034-2012,Murdoch University,Undergrad,06 Health,Domestic,1058.916664
2012,1034,1034-2012,Murdoch University,Undergrad,07 Education,Domestic,1062.895831
2012,1034,1034-2012,Murdoch University,Undergrad,08 Management and Commerce,Domestic,655.7999987
2012,1034,1034-2012,Murdoch University,Undergrad,09 Society and Culture,Domestic,2574.033327
2012,1034,1034-2012,Murdoch University,Undergrad,10 Creative Arts,Domestic,511.8249989
2012,1034,1034-2012,Murdoch University,Postgrad by course,01 Natural and Physical Sciences,International,0.666666666
2012,1034,1034-2012,Murdoch University,Postgrad by course,02 Information Technology,International,25.83333323
2012,1034,1034-2012,Murdoch University,Postgrad by course,03 Engineering and Related Technologies,International,17.49999994
2012,1034,1034-2012,Murdoch University,Postgrad by course,04 Architecture and Building,International,0.999999997
2012,1034,1034-2012,Murdoch University,Postgrad by course,"05 Agriculture, Environmental and Related Studies",International,3.166666655
2012,1034,1034-2012,Murdoch University,Postgrad by course,06 Health,International,23.66666661
2012,1034,1034-2012,Murdoch University,Postgrad by course,07 Education,International,17.41666661
2012,1034,1034-2012,Murdoch University,Postgrad by course,08 Management and Commerce,International,150.9166661
2012,1034,1034-2012,Murdoch University,Postgrad by course,09 Society and Culture,International,61.16666648
2012,1034,1034-2012,Murdoch University,Postgrad by course,10 Creative Arts,International,2.583333326
2012,1034,1034-2012,Murdoch University,Undergrad,01 Natural and Physical Sciences,International,151.958333
2012,1034,1034-2012,Murdoch University,Undergrad,02 Information Technology,International,70.33333314
2012,1034,1034-2012,Murdoch University,Undergrad,03 Engineering and Related Technologies,International,56.6249999
2012,1034,1034-2012,Murdoch University,Undergrad,"05 Agriculture, Environmental and Related Studies",International,14.54166662
2012,1034,1034-2012,Murdoch University,Undergrad,06 Health,International,202.2499994
2012,1034,1034-2012,Murdoch University,Undergrad,07 Education,International,16.54166664
2012,1034,1034-2012,Murdoch University,Undergrad,08 Management and Commerce,International,308.7916658
2012,1034,1034-2012,Murdoch University,Undergrad,09 Society and Culture,International,188.8749995
2012,1034,1034-2012,Murdoch University,Undergrad,10 Creative Arts,International,92.16666637
2012,1055,1055-2012,The University of Western Australia,Postgrad by course,01 Natural and Physical Sciences,Domestic,115.3125
2012,1055,1055-2012,The University of Western Australia,Postgrad by course,02 Information Technology,Domestic,2.25
2012,1055,1055-2012,The University of Western Australia,Postgrad by course,03 Engineering and Related Technologies,Domestic,45.5
2012,1055,1055-2012,The University of Western Australia,Postgrad by course,04 Architecture and Building,Domestic,156.75
2012,1055,1055-2012,The University of Western Australia,Postgrad by course,"05 Agriculture, Environmental and Related Studies",Domestic,17.25
2012,1055,1055-2012,The University of Western Australia,Postgrad by course,06 Health,Domestic,283.9166666
2012,1055,1055-2012,The University of Western Australia,Postgrad by course,07 Education,Domestic,222.25
2012,1055,1055-2012,The University of Western Australia,Postgrad by course,08 Management and Commerce,Domestic,267.5416667
2012,1055,1055-2012,The University of Western Australia,Postgrad by course,09 Society and Culture,Domestic,194.4125
2012,1055,1055-2012,The University of Western Australia,Postgrad by course,10 Creative Arts,Domestic,20.5
2012,1055,1055-2012,The University of Western Australia,Undergrad,01 Natural and Physical Sciences,Domestic,4058
2012,1055,1055-2012,The University of Western Australia,Undergrad,02 Information Technology,Domestic,89.5
2012,1055,1055-2012,The University of Western Australia,Undergrad,03 Engineering and Related Technologies,Domestic,1833.375
2012,1055,1055-2012,The University of Western Australia,Undergrad,04 Architecture and Building,Domestic,515.25
2012,1055,1055-2012,The University of Western Australia,Undergrad,"05 Agriculture, Environmental and Related Studies",Domestic,193.125
2012,1055,1055-2012,The University of Western Australia,Undergrad,06 Health,Domestic,1307.729157
2012,1055,1055-2012,The University of Western Australia,Undergrad,07 Education,Domestic,81.5625
2012,1055,1055-2012,The University of Western Australia,Undergrad,08 Management and Commerce,Domestic,2054
2012,1055,1055-2012,The University of Western Australia,Undergrad,09 Society and Culture,Domestic,3139.076136
2012,1055,1055-2012,The University of Western Australia,Undergrad,10 Creative Arts,Domestic,296.625
2012,1055,1055-2012,The University of Western Australia,Postgrad by course,01 Natural and Physical Sciences,International,116.25
2012,1055,1055-2012,The University of Western Australia,Postgrad by course,02 Information Technology,International,28.375
2012,1055,1055-2012,The University of Western Australia,Postgrad by course,03 Engineering and Related Technologies,International,124.25
2012,1055,1055-2012,The University of Western Australia,Postgrad by course,04 Architecture and Building,International,60.625
2012,1055,1055-2012,The University of Western Australia,Postgrad by course,"05 Agriculture, Environmental and Related Studies",International,17
2012,1055,1055-2012,The University of Western Australia,Postgrad by course,06 Health,International,69.9722222
2012,1055,1055-2012,The University of Western Australia,Postgrad by course,07 Education,International,29.625
2012,1055,1055-2012,The University of Western Australia,Postgrad by course,08 Management and Commerce,International,201.5
2012,1055,1055-2012,The University of Western Australia,Postgrad by course,09 Society and Culture,International,41.5
2012,1055,1055-2012,The University of Western Australia,Postgrad by course,10 Creative Arts,International,5.875
2012,1055,1055-2012,The University of Western Australia,Undergrad,01 Natural and Physical Sciences,International,436.1875
2012,1055,1055-2012,The University of Western Australia,Undergrad,02 Information Technology,International,26.875
2012,1055,1055-2012,The University of Western Australia,Undergrad,03 Engineering and Related Technologies,International,478.5
2012,1055,1055-2012,The University of Western Australia,Undergrad,04 Architecture and Building,International,87.875
2012,1055,1055-2012,The University of Western Australia,Undergrad,"05 Agriculture, Environmental and Related Studies",International,36
2012,1055,1055-2012,The University of Western Australia,Undergrad,06 Health,International,211.479165
2012,1055,1055-2012,The University of Western Australia,Undergrad,07 Education,International,3.375
2012,1055,1055-2012,The University of Western Australia,Undergrad,08 Management and Commerce,International,704.5
2012,1055,1055-2012,The University of Western Australia,Undergrad,09 Society and Culture,International,312.25
2012,1055,1055-2012,The University of Western Australia,Undergrad,10 Creative Arts,International,37.75
2012,1058,1058-2012,University of Wollongong,Postgrad by course,01 Natural and Physical Sciences,Domestic,15.29166667
2012,1058,1058-2012,University of Wollongong,Postgrad by course,02 Information Technology,Domestic,22.70833334
2012,1058,1058-2012,University of Wollongong,Postgrad by course,03 Engineering and Related Technologies,Domestic,36.125
2012,1058,1058-2012,University of Wollongong,Postgrad by course,"05 Agriculture, Environmental and Related Studies",Domestic,12.00000001
2012,1058,1058-2012,University of Wollongong,Postgrad by course,06 Health,Domestic,220.4166667
2012,1058,1058-2012,University of Wollongong,Postgrad by course,07 Education,Domestic,520.0208336
2012,1058,1058-2012,University of Wollongong,Postgrad by course,08 Management and Commerce,Domestic,189.25
2012,1058,1058-2012,University of Wollongong,Postgrad by course,09 Society and Culture,Domestic,222.8750001
2012,1058,1058-2012,University of Wollongong,Postgrad by course,10 Creative Arts,Domestic,4.000000001
2012,1058,1058-2012,University of Wollongong,Undergrad,01 Natural and Physical Sciences,Domestic,1034.747686
2012,1058,1058-2012,University of Wollongong,Undergrad,02 Information Technology,Domestic,456.8189655
2012,1058,1058-2012,University of Wollongong,Undergrad,03 Engineering and Related Technologies,Domestic,1454.244518
2012,1058,1058-2012,University of Wollongong,Undergrad,"05 Agriculture, Environmental and Related Studies",Domestic,95.8333334
2012,1058,1058-2012,University of Wollongong,Undergrad,06 Health,Domestic,1747.225529
2012,1058,1058-2012,University of Wollongong,Undergrad,07 Education,Domestic,1237.041667
2012,1058,1058-2012,University of Wollongong,Undergrad,08 Management and Commerce,Domestic,1924.960039
2012,1058,1058-2012,University of Wollongong,Undergrad,09 Society and Culture,Domestic,2537.275955
2012,1058,1058-2012,University of Wollongong,Undergrad,10 Creative Arts,Domestic,1367.608398
2012,1058,1058-2012,University of Wollongong,Postgrad by course,01 Natural and Physical Sciences,International,42.58333334
2012,1058,1058-2012,University of Wollongong,Postgrad by course,02 Information Technology,International,214.0416667
2012,1058,1058-2012,University of Wollongong,Postgrad by course,03 Engineering and Related Technologies,International,243.875
2012,1058,1058-2012,University of Wollongong,Postgrad by course,"05 Agriculture, Environmental and Related Studies",International,14.75000001
2012,1058,1058-2012,University of Wollongong,Postgrad by course,06 Health,International,51.37500001
2012,1058,1058-2012,University of Wollongong,Postgrad by course,07 Education,International,87.39583339
2012,1058,1058-2012,University of Wollongong,Postgrad by course,08 Management and Commerce,International,826.2916667
2012,1058,1058-2012,University of Wollongong,Postgrad by course,09 Society and Culture,International,73.37500006
2012,1058,1058-2012,University of Wollongong,Postgrad by course,10 Creative Arts,International,3
2012,1058,1058-2012,University of Wollongong,Undergrad,01 Natural and Physical Sciences,International,44.62500001
2012,1058,1058-2012,University of Wollongong,Undergrad,02 Information Technology,International,166.4583333
2012,1058,1058-2012,University of Wollongong,Undergrad,03 Engineering and Related Technologies,International,243.125
2012,1058,1058-2012,University of Wollongong,Undergrad,"05 Agriculture, Environmental and Related Studies",International,2.333333334
2012,1058,1058-2012,University of Wollongong,Undergrad,06 Health,International,128.2083333
2012,1058,1058-2012,University of Wollongong,Undergrad,07 Education,International,8.125
2012,1058,1058-2012,University of Wollongong,Undergrad,08 Management and Commerce,International,856
2012,1058,1058-2012,University of Wollongong,Undergrad,09 Society and Culture,International,89.53947375
2012,1058,1058-2012,University of Wollongong,Undergrad,10 Creative Arts,International,26.62500001
2012,2148,2148-2012,The National Institute of Dramatic Art,Postgrad by course,10 Creative Arts,Domestic,12
2012,2148,2148-2012,The National Institute of Dramatic Art,Undergrad,10 Creative Arts,Domestic,145
2012,2148,2148-2012,The National Institute of Dramatic Art,Undergrad,10 Creative Arts,International,6
2012,2154,2154-2012,Federation University Australia,Postgrad by course,01 Natural and Physical Sciences,Domestic,13.25
2012,2154,2154-2012,Federation University Australia,Postgrad by course,02 Information Technology,Domestic,5.125
2012,2154,2154-2012,Federation University Australia,Postgrad by course,03 Engineering and Related Technologies,Domestic,102.875
2012,2154,2154-2012,Federation University Australia,Postgrad by course,06 Health,Domestic,115.83281
2012,2154,2154-2012,Federation University Australia,Postgrad by course,07 Education,Domestic,245.43749
2012,2154,2154-2012,Federation University Australia,Postgrad by course,08 Management and Commerce,Domestic,51
2012,2154,2154-2012,Federation University Australia,Postgrad by course,09 Society and Culture,Domestic,65.33345
2012,2154,2154-2012,Federation University Australia,Undergrad,01 Natural and Physical Sciences,Domestic,293.58333
2012,2154,2154-2012,Federation University Australia,Undergrad,02 Information Technology,Domestic,154.625
