ref_year,provider_code,code_year,provider_name,attrition_rate
2011,1019,1019-2012,James Cook University,20.2
2011,1034,1034-2012,Murdoch University,16.56
2011,1055,1055-2012,The University of Western Australia,8.14
2011,1058,1058-2012,University of Wollongong,10.13
2011,2148,2148-2012,The National Institute of Dramatic Art,6.06
2011,2154,2154-2012,Federation University Australia,19.65
2011,2170,2170-2012,Marcus Oldham College,4.96
2011,2177,2177-2012,Swinburne University of Technology,15.19
2011,2200,2200-2012,CQUniversity,22.44
2011,2201,2201-2012,University of Southern Queensland,24.02
2011,2235,2235-2012,Edith Cowan University,17.97
2011,2236,2236-2012,Curtin University,13.44
2011,2241,2241-2012,University of Canberra,13.84
2011,2246,2246-2012,Batchelor Institute of Indigenous Tertiary Education,38.22
2011,2252,2252-2012,Avondale College of Higher Education,18.2
2011,2271,2271-2012,"Australian Film, Television and Radio School",3.07
2011,3001,3001-2012,Charles Darwin University,27.41
2011,3003,3003-2012,Bond University,10.3
2011,3004,3004-2012,Western Sydney University,12.29
2011,3005,3005-2012,Charles Sturt University,21.24
2011,3006,3006-2012,Australian Catholic University,14.18
2011,3007,3007-2012,Victoria University,15.4
2011,3010,3010-2012,The University of Adelaide,9.68
2011,3013,3013-2012,University of New South Wales,8.61
2011,3014,3014-2012,The University of Newcastle,14.65
2011,3016,3016-2012,University of Technology Sydney,9.27
2011,3019,3019-2012,The University of Queensland,8.78
2011,3020,3020-2012,La Trobe University,11.76
2011,3025,3025-2012,Macquarie University,10.56
2011,3027,3027-2012,University of South Australia,16.3
2011,3029,3029-2012,Flinders University,14.81
2011,3030,3030-2012,Deakin University,12.67
2011,3032,3032-2012,Griffith University,12.73
2011,3033,3033-2012,The Australian National University,8.59
2011,3034,3034-2012,RMIT University,11.1
2011,3035,3035-2012,Monash University,9.09
2011,3036,3036-2012,The University of Melbourne,6.88
2011,3038,3038-2012,Southern Cross University,22.61
2011,3039,3039-2012,The University of New England,21.19
2011,3040,3040-2012,The University of Sydney,6.93
2011,3042,3042-2012,Queensland University of Technology,11.22
2011,3043,3043-2012,University of the Sunshine Coast,19.99
2011,3044,3044-2012,The University of Notre Dame Australia,13.37
2011,3045,3045-2012,University of Tasmania,24.61
2011,4331,4331-2012,University of Divinity,24.2
2011,4332,4332-2012,Sydney College of Divinity,30.22
2011,4333,4333-2012,Christian Heritage College,25.05
