ref_year,provider_code,code_year,provider_name,citizenship,success_rate
2011,1019,1019-2011,James Cook University,Domestic,85.72
2011,1034,1034-2011,Murdoch University,Domestic,82.09
2011,1055,1055-2011,The University of Western Australia,Domestic,90.94
2011,1058,1058-2011,University of Wollongong,Domestic,90.85
2011,2148,2148-2011,The National Institute of Dramatic Art,Domestic,97.5
2011,2154,2154-2011,Federation University Australia,Domestic,87.86
2011,2170,2170-2011,Marcus Oldham College,Domestic,98.08
2011,2177,2177-2011,Swinburne University of Technology,Domestic,83.39
2011,2200,2200-2011,CQUniversity,Domestic,84.18
2011,2201,2201-2011,University of Southern Queensland,Domestic,78.77
2011,2235,2235-2011,Edith Cowan University,Domestic,84.47
2011,2236,2236-2011,Curtin University,Domestic,86.88
2011,2241,2241-2011,University of Canberra,Domestic,84.81
2011,2246,2246-2011,Batchelor Institute of Indigenous Tertiary Education,Domestic,57.29
2011,2252,2252-2011,Avondale College of Higher Education,Domestic,92.81
2011,2271,2271-2011,"Australian Film, Television and Radio School",Domestic,98.49
2011,3001,3001-2011,Charles Darwin University,Domestic,85.13
2011,3003,3003-2011,Bond University,Domestic,77.19
2011,3004,3004-2011,Western Sydney University,Domestic,82.86
2011,3005,3005-2011,Charles Sturt University,Domestic,83.75
2011,3006,3006-2011,Australian Catholic University,Domestic,90.19
2011,3007,3007-2011,Victoria University,Domestic,81.74
2011,3010,3010-2011,The University of Adelaide,Domestic,86.87
2011,3013,3013-2011,University of New South Wales,Domestic,93.23
2011,3014,3014-2011,The University of Newcastle,Domestic,86.91
2011,3016,3016-2011,University of Technology Sydney,Domestic,91.47
2011,3019,3019-2011,The University of Queensland,Domestic,90.47
2011,3020,3020-2011,La Trobe University,Domestic,88.61
2011,3025,3025-2011,Macquarie University,Domestic,88.01
2011,3027,3027-2011,University of South Australia,Domestic,88.6
2011,3029,3029-2011,Flinders University,Domestic,86.76
2011,3030,3030-2011,Deakin University,Domestic,86.37
2011,3032,3032-2011,Griffith University,Domestic,87.8
2011,3033,3033-2011,The Australian National University,Domestic,92.7
2011,3034,3034-2011,RMIT University,Domestic,88.63
2011,3035,3035-2011,Monash University,Domestic,91.31
2011,3036,3036-2011,The University of Melbourne,Domestic,94.12
2011,3038,3038-2011,Southern Cross University,Domestic,80.93
2011,3039,3039-2011,The University of New England,Domestic,82.26
2011,3040,3040-2011,The University of Sydney,Domestic,92.58
2011,3042,3042-2011,Queensland University of Technology,Domestic,88.91
2011,3043,3043-2011,University of the Sunshine Coast,Domestic,84.44
2011,3044,3044-2011,The University of Notre Dame Australia,Domestic,90.84
2011,3045,3045-2011,University of Tasmania,Domestic,87.53
2011,4331,4331-2011,University of Divinity,Domestic,91.01
2011,4332,4332-2011,Sydney College of Divinity,Domestic,88.91
2011,4333,4333-2011,Christian Heritage College,Domestic,79.21
2011,4334,4334-2011,Tabor Adelaide,Domestic,85.56
2011,4335,4335-2011,Australian College of Theology,Domestic,92.69
2011,4336,4336-2011,Australian College of Applied Psychology,Domestic,73.31
2011,4337,4337-2011,Eastern College Australia,Domestic,82.34
2011,4338,4338-2011,Moore Theological College,Domestic,96.63
2011,4339,4339-2011,Holmes Institute,Domestic,56.54
2011,4340,4340-2011,Monash College,Domestic,78.73
2011,4341,4341-2011,Harvest Bible College,Domestic,82.63
2011,4342,4342-2011,Australian Lutheran College,Domestic,94.87
2011,4343,4343-2011,Australian Institute of Music,Domestic,100
2011,4344,4344-2011,South Aust Institute of Business & Technology,Domestic,57.76
2011,4346,4346-2011,Excelsia College,Domestic,92.21
2011,4347,4347-2011,Tabor College NSW,Domestic,85.32
2011,4348,4348-2011,Deakin College,Domestic,72.13
2011,4349,4349-2011,Sydney Institute of Business and Technology,Domestic,67.79
2011,4350,4350-2011,Queensland Institute of Business and Technology,Domestic,67.62
2011,4351,4351-2011,Navitas College of Public Safety Pty Ltd,Domestic,79.64
2011,4352,4352-2011,The Australian College of Physical Education,Domestic,86.29
2011,4355,4355-2011,Adelaide College of Divinity,Domestic,89.24
2011,4357,4357-2011,Blue Mountains Intl Hotel Management School,Domestic,100
2011,4359,4359-2011,The College of Law,Domestic,84.24
2011,4360,4360-2011,Perth Bible College,Domestic,78.14
2011,4361,4361-2011,Endeavour College of Natural Health,Domestic,86.66
