ref_year,provider_code,code_year,provider_name,success_rate
2011,1019,1019-2011,James Cook University,85.72
2011,1034,1034-2011,Murdoch University,82.71
2011,1055,1055-2011,The University of Western Australia,91.28
2011,1058,1058-2011,University of Wollongong,90.28
2011,2148,2148-2011,The National Institute of Dramatic Art,97.59
2011,2154,2154-2011,Federation University Australia,85.45
2011,2170,2170-2011,Marcus Oldham College,98.08
2011,2177,2177-2011,Swinburne University of Technology,83.06
2011,2200,2200-2011,CQUniversity,83.19
2011,2201,2201-2011,University of Southern Queensland,80.1
2011,2235,2235-2011,Edith Cowan University,84.75
2011,2236,2236-2011,Curtin University,87.12
2011,2241,2241-2011,University of Canberra,84.43
2011,2246,2246-2011,Batchelor Institute of Indigenous Tertiary Education,57.29
2011,2252,2252-2011,Avondale College of Higher Education,92.63
2011,2271,2271-2011,"Australian Film, Television and Radio School",98.49
2011,3001,3001-2011,Charles Darwin University,85.27
2011,3003,3003-2011,Bond University,80.17
2011,3004,3004-2011,Western Sydney University,83.06
2011,3005,3005-2011,Charles Sturt University,83.02
2011,3006,3006-2011,Australian Catholic University,90.22
2011,3007,3007-2011,Victoria University,82.31
2011,3010,3010-2011,The University of Adelaide,87.6
2011,3013,3013-2011,University of New South Wales,93.14
2011,3014,3014-2011,The University of Newcastle,87.03
2011,3016,3016-2011,University of Technology Sydney,90.83
2011,3019,3019-2011,The University of Queensland,90.97
2011,3020,3020-2011,La Trobe University,88.3
2011,3025,3025-2011,Macquarie University,86.33
2011,3027,3027-2011,University of South Australia,88.57
2011,3029,3029-2011,Flinders University,87.19
2011,3030,3030-2011,Deakin University,85.36
2011,3032,3032-2011,Griffith University,88.44
2011,3033,3033-2011,The Australian National University,93.11
2011,3034,3034-2011,RMIT University,88.28
2011,3035,3035-2011,Monash University,91.1
2011,3036,3036-2011,The University of Melbourne,94.36
2011,3038,3038-2011,Southern Cross University,81.21
2011,3039,3039-2011,The University of New England,82.37
2011,3040,3040-2011,The University of Sydney,92.16
2011,3042,3042-2011,Queensland University of Technology,89.32
2011,3043,3043-2011,University of the Sunshine Coast,85.2
2011,3044,3044-2011,The University of Notre Dame Australia,90.86
2011,3045,3045-2011,University of Tasmania,87.47
2011,4331,4331-2011,University of Divinity,91.34
2011,4332,4332-2011,Sydney College of Divinity,89.6
2011,4333,4333-2011,Christian Heritage College,79.17
2011,4334,4334-2011,Tabor Adelaide,85.57
