provider_name,provider_code,prv,affiliation,affil_status,profit,type,ownership,TEQSA_type
Australian Catholic University Limited,3006,PRV12008,non_aligned,current,not_for_profit,university,public,university
Australian National University,3033,PRV12002,Go8,current,not_for_profit,university,public,university
Bond University Limited,3003,PRV12072,non_aligned,current,not_for_profit,university,private,university
Carnegie Mellon University,4374,PRV12095,non_aligned,current,not_for_profit,university,private,university
The National Institute of Dramatic Art,2148,PRV12052,,,not_for_profit,other,private,not_for_profit
Central Queensland University,2200,PRV12073,RUN,current,not_for_profit,university,public,university
Marcus Oldham College,2170,PRV12133,,,not_for_profit,other,private,not_for_profit
Charles Darwin University,3001,PRV12069,IRU,current,not_for_profit,university,public,university
Charles Sturt University,3005,PRV12018,RUN,current,not_for_profit,university,public,university
Curtin University,2236,PRV12158,ATN,current,not_for_profit,university,public,university
Deakin University,3030,PRV12124,non_aligned,current,not_for_profit,university,public,university
Edith Cowan University,2235,PRV12160,non_aligned,current,not_for_profit,university,public,university
Federation University Australia,2154,PRV12151,RUN,current,not_for_profit,university,public,university
Avondale College Limited,2252,PRV12015,,,not_for_profit,faith_based,private,not_for_profit
"Australian Film, Television and Radio School",2271,PRV12011,,,not_for_profit,government,public,not_for_profit
Flinders University,3029,PRV12097,IRU,current,not_for_profit,university,public,university
Griffith University,3032,PRV12076,IRU,current,not_for_profit,university,public,university
James Cook University,1019,PRV12077,IRU,current,not_for_profit,university,public,university
La Trobe University,3020,PRV12132,IRU,current,not_for_profit,university,public,university
Macquarie University,3025,PRV12032,IRU,former,not_for_profit,university,public,university
Monash University,3035,PRV12140,Go8,current,not_for_profit,university,public,university
Murdoch University,1034,PRV12163,IRU,current,not_for_profit,university,public,university
Queensland University of Technology,3042,PRV12079,ATN,former,not_for_profit,university,public,university
Royal Melbourne Institute of Technology,3034,PRV12145,ATN,current,not_for_profit,university,public,university
Southern Cross University,3038,PRV12043,RUN,current,not_for_profit,university,public,university
Swinburne University of Technology,2177,PRV12148,non_aligned,current,not_for_profit,university,public,university
The University of Adelaide,3010,PRV12105,Go8,current,not_for_profit,university,public,university
The University of Melbourne,3036,PRV12150,Go8,current,not_for_profit,university,public,university
The University of Notre Dame Australia,3044,PRV12170,non_aligned,current,not_for_profit,university,private,university
The University of Queensland,3019,PRV12080,Go8,current,not_for_profit,university,public,university
The University of Sydney,3040,PRV12057,Go8,current,not_for_profit,university,public,university
The University of Western Australia,1055,PRV12169,Go8,current,not_for_profit,university,public,university
Torrens University Australia Ltd,5555,PRV12209,non_aligned,current,for_profit,university,private,university
University College London,4413,PRV12106,non_aligned,current,not_for_profit,university,public,university
University of Canberra,2241,PRV12003,non_aligned,current,not_for_profit,university,public,university
University of Divinity,4331,PRV12135,non_aligned,current,not_for_profit,university,public,university
University of New England,3039,PRV12054,RUN,current,not_for_profit,university,public,university
University of New South Wales,3013,PRV12055,Go8,current,not_for_profit,university,public,university
