code_year,prv,provider_name,ref_year,type,TEQSA_type,ownership,profit,affiliation,affil_status,eftsl_sum,primary_bfoe,primary_bfoe_prop,bfoe_entropy,bfoe_gini_impurity,postgrad_prop,int_prop,sessional_prop,senior_prop,ssr_all,ssr_salaried,success_dom,success_int,success_all,attrition_dom,attrition_int,attrition_all
3006-2013,PRV12008,Australian Catholic University Limited,2013,university,university,public,not_for_profit,non_aligned,current,18495.25,health,0.4,1.959,0.696,0.117,0.098,0.379,0.146,19.063,30.701,89.2,88.16,89.1,14.14,13.36,14.06
3033-2013,PRV12002,Australian National University,2013,university,university,public,not_for_profit,Go8,current,12486.125,soc_cult,0.486,2.223,0.696,0.319,0.286,0.07,0.318,7.107,7.64,92.86,93.9,93.16,10.17,3.51,8.72
3003-2013,PRV12072,Bond University Limited,2013,university,university,private,not_for_profit,non_aligned,current,4856.729,soc_cult,0.392,2.288,0.746,0.28,0.279,0.252,0.367,13.758,18.4,76.9,88.6,80.18,11.0,9.04,10.44
4374-2013,PRV12095,Carnegie Mellon University,2013,university,university,private,not_for_profit,non_aligned,current,83.13,info_tech,0.652,0.933,0.454,1.0,0.978,0.186,0.337,0.01,0.012,97.75,99.15,99.12,7.363,6.67,6.67
2200-2013,PRV12073,Central Queensland University,2013,university,university,public,not_for_profit,RUN,current,10386.877,mge_com,0.337,2.694,0.799,0.234,0.295,0.178,0.184,21.365,25.98,83.37,82.93,83.24,26.48,16.59,23.32
3001-2013,PRV12069,Charles Darwin University,2013,university,university,public,not_for_profit,IRU,current,4730.5,education,0.254,2.672,0.811,0.188,0.162,0.07,0.169,17.57,18.899,82.15,81.7,82.08,26.08,9.88,24.53
3005-2013,PRV12018,Charles Sturt University,2013,university,university,public,not_for_profit,RUN,current,19416.438,soc_cult,0.232,2.693,0.824,0.192,0.099,0.189,0.12,16.732,20.637,84.91,81.97,84.64,20.03,18.06,19.85
2236-2013,PRV12158,Curtin University,2013,university,university,public,not_for_profit,ATN,current,25818.0,mge_com,0.245,2.793,0.834,0.134,0.21,0.248,0.202,14.123,18.789,86.27,86.98,86.42,15.89,8.1,14.38
3030-2013,PRV12124,Deakin University,2013,university,university,public,not_for_profit,non_aligned,current,31587.422,soc_cult,0.234,2.835,0.831,0.175,0.164,0.234,0.17,17.536,22.882,84.54,81.49,84.04,13.78,9.02,13.03
2235-2013,PRV12160,Edith Cowan University,2013,university,university,public,not_for_profit,non_aligned,current,15569.728,health,0.234,2.836,0.841,0.155,0.14,0.239,0.158,21.862,28.731,83.82,83.08,83.72,19.63,8.41,18.23
2154-2013,PRV12151,Federation University Australia,2013,university,university,public,not_for_profit,RUN,current,8079.612,mge_com,0.319,2.601,0.802,0.297,0.426,0.299,0.128,21.586,30.791,87.08,76.81,82.63,22.84,23.45,23.13
