code_year,prv,provider_name,ref_year,type,TEQSA_type,ownership,profit,affiliation,affil_status,eftsl_sum,primary_bfoe,primary_bfoe_prop,bfoe_entropy,bfoe_gini_impurity,postgrad_prop,int_prop,all_fte,sessional_prop_type_avg,sessional_prop,senior_prop,ssr_all_type_avg,ssr_salaried_type_avg,ssr_all,ssr_salaried,success_dom,success_int,success_all,attrition_dom,attrition_int,attrition_all
1019-2012,PRV12077,James Cook University,2012,university,university,public,not_for_profit,IRU,current,11295.32,health,0.36,2.62,0.79,0.13,0.14,847.92,,0.15,0.24,,,13.32,15.67,85.75,83.43,85.43,20.9,15.79,20.2
1034-2012,PRV12163,Murdoch University,2012,university,university,public,not_for_profit,IRU,current,10090.3,soc_cult,0.31,2.84,0.83,0.12,0.14,708.97,,0.26,0.2,,,14.23,19.11,80.76,85.9,81.48,17.71,8.36,16.56
1055-2012,PRV12169,The University of Western Australia,2012,university,university,public,not_for_profit,Go8,current,17923.7,nat_phys_sci,0.26,2.73,0.82,0.11,0.17,1630.16,,0.07,0.29,,,11.0,11.83,90.63,92.87,91.01,8.71,4.96,8.14
1058-2012,PRV12062,University of Wollongong,2012,university,university,public,not_for_profit,non_aligned,current,16220.19,mge_com,0.23,2.9,0.85,0.17,0.19,1232.55,,0.22,0.23,,,13.16,16.79,90.45,86.22,89.63,11.67,5.76,10.13
2154-2012,PRV12151,Federation University Australia,2012,university,university,public,not_for_profit,RUN,current,8190.3,mge_com,0.33,2.6,0.8,0.24,0.43,365.54,,0.3,0.12,,,22.41,32.21,88.46,77.44,83.62,19.65,19.65,19.65
2177-2012,PRV12148,Swinburne University of Technology,2012,university,university,public,not_for_profit,non_aligned,current,15245.39,mge_com,0.32,2.54,0.8,0.14,0.26,937.36,,0.32,0.16,,,16.26,23.91,81.01,82.03,81.28,16.32,12.3,15.19
2200-2012,PRV12073,Central Queensland University,2012,university,university,public,not_for_profit,RUN,current,10657.54,mge_com,0.41,2.59,0.77,0.24,0.38,469.14,,0.12,0.21,,,22.72,25.81,83.43,81.67,82.75,28.08,14.62,22.44
2201-2012,PRV12081,University of Southern Queensland,2012,university,university,public,not_for_profit,RUN,current,12660.91,mge_com,0.29,2.71,0.82,0.21,0.24,648.46,,0.32,0.15,,,19.52,28.7,78.61,83.1,79.68,24.95,14.24,24.02
2235-2012,PRV12160,Edith Cowan University,2012,university,university,public,not_for_profit,non_aligned,current,15745.4,health,0.22,2.85,0.84,0.15,0.14,709.98,,0.22,0.16,,,22.18,28.61,84.37,86.02,84.61,19.23,10.2,17.97
2236-2012,PRV12158,Curtin University,2012,university,university,public,not_for_profit,ATN,current,24704.45,mge_com,0.27,2.79,0.83,0.14,0.24,1791.36,,0.23,0.22,,,13.79,17.93,86.37,87.05,86.53,15.41,7.79,13.44
2241-2012,PRV12003,University of Canberra,2012,university,university,public,not_for_profit,non_aligned,current,10159.87,mge_com,0.27,2.83,0.83,0.15,0.22,520.21,,0.25,0.23,,,19.53,26.04,83.38,84.43,83.61,15.41,8.36,13.84
