index,provider_name,prv,affiliation,affil_status,profit,type,ownership,TEQSA_type,ref_year,code_year,success_all,success_dom,success_int,attrition_all,attrition_dom,attrition_int,all_fte,salaried_fte,senior_fte,senior_headcount,sessional_fte,sessional_prop,senior_prop,ssr_all,primary_bfoe,eftsl_sum,primary_bfoe_prop,bfoe_entropy,bfoe_gini_impurity,postgrad_prop,int_prop,ssr_all_type_avg,ssr_salaried_type_avg,sessional_prop_type_avg
0,Australian Catholic University Limited,PRV12008,non_aligned,current,not_for_profit,university,public,university,2013,3006-2013,89.1,89.2,88.16,14.06,14.14,13.36,970.22,602.44,141.3,147.0,367.78,0.3790686648389025,0.1456370720042877,19.062944486817422,health,18495.25,0.3995282572552412,1.9589088561968415,0.6961913045331056,0.11746935023857477,0.09843743663913708,16.29343835,20.59001902,0.208672982
1,Australian National University,PRV12002,Go8,current,not_for_profit,university,public,university,2013,3033-2013,93.16,92.86,93.9,8.72,10.17,3.51,1756.85,1634.32,558.56,595.0,122.52999999999997,0.06974414434926145,0.3179326635740103,7.107109314967129,soc_cult,12486.125,0.4863898927809869,2.223380762114378,0.696263782931501,0.3192343501286428,0.2861826627556588,16.29343835,20.59001902,0.208672982
2,Bond University Limited,PRV12072,non_aligned,current,not_for_profit,university,private,university,2013,3003-2013,80.18,76.9,88.6,10.44,11.0,9.04,353.0,263.95,129.54,144.0,89.05000000000001,0.2522662889518414,0.36696883852691214,13.758439568130312,soc_cult,4856.72916755,0.3916559069237861,2.2883385513286747,0.7461228059439978,0.2799037419325081,0.27923456721782264,16.29343835,20.59001902,0.208672982
3,Carnegie Mellon University,PRV12095,non_aligned,current,not_for_profit,university,private,university,2013,4374-2013,99.12,97.75,99.15,6.67,,6.67,,,,,,,,,info_tech,83.129910525,0.6515779083956857,0.9326509493440704,0.4540482753727782,1.0,0.977731489745279,16.29343835,20.59001902,0.208672982
4,Central Queensland University,PRV12073,RUN,current,not_for_profit,university,public,university,2013,2200-2013,83.24,83.37,82.93,23.32,26.48,16.59,486.16,399.81,89.55,95.0,86.35000000000002,0.17761642257692944,0.18419861773901594,21.365141126378145,mge_com,10386.87701,0.33697451280401747,2.694441782352277,0.7989034028723971,0.2339612751417377,0.295404199649804,16.29343835,20.59001902,0.208672982
5,Charles Darwin University,PRV12069,IRU,current,not_for_profit,university,public,university,2013,3001-2013,82.08,82.15,81.7,24.53,26.08,9.88,269.24,250.31,45.57,56.0,18.930000000000007,0.07030901797652654,0.16925419699896002,17.569826177388205,education,4730.5,0.25422788288764403,2.6723421406829533,0.8107090170997886,0.18792939435577635,0.16166367191628792,16.29343835,20.59001902,0.208672982
6,Charles Sturt University,PRV12018,RUN,current,not_for_profit,university,public,university,2013,3005-2013,84.64,84.91,81.97,19.85,20.03,18.06,1160.42,940.87,139.65,158.0,219.55000000000007,0.18919873838782514,0.12034435807724789,16.732249961220937,soc_cult,19416.4375,0.23210520725030018,2.6927519717492183,0.8243208440318748,0.19204250264756342,0.09902048200139701,16.29343835,20.59001902,0.208672982
7,Curtin University,PRV12158,ATN,current,not_for_profit,university,public,university,2013,2236-2013,86.42,86.27,86.98,14.38,15.89,8.1,1828.02,1374.12,368.69,393.0,453.9000000000001,0.24830144090327244,0.20168816533735956,14.123477861292546,mge_com,25818.0,0.24474688202029593,2.7930662559950044,0.8339504717855789,0.13432246882020296,0.20967687272445582,16.29343835,20.59001902,0.208672982
8,Deakin University,PRV12124,non_aligned,current,not_for_profit,university,public,university,2013,3030-2013,84.04,84.54,81.49,13.03,13.78,9.02,1801.24,1380.43,306.9,320.0,420.80999999999995,0.2336223934622815,0.17038262530256934,17.536487017276986,soc_cult,31587.421874999996,0.23414945129959266,2.834757996614616,0.8314155190536243,0.1745977804654246,0.16405462023798043,16.29343835,20.59001902,0.208672982
9,Edith Cowan University,PRV12160,non_aligned,current,not_for_profit,university,public,university,2013,2235-2013,83.72,83.82,83.08,18.23,19.63,8.41,712.19,541.91,112.8,119.0,170.2800000000001,0.23909350032996823,0.15838470071188868,21.861761365700165,health,15569.727827038,0.23407593922618578,2.836128491380478,0.8408290177225007,0.1547299255838251,0.1403550760150784,16.29343835,20.59001902,0.208672982
10,Federation University Australia,PRV12151,RUN,current,not_for_profit,university,public,university,2013,2154-2013,82.63,87.08,76.81,23.13,22.84,23.45,374.3,262.4,47.9,51.0,111.90000000000003,0.2989580550360674,0.1279722148009618,21.585926502805236,mge_com,8079.61229,0.3188323396641598,2.601455358747019,0.8019369693757258,0.29651016831155397,0.42628901813307185,16.29343835,20.59001902,0.208672982
11,Flinders University,PRV12097,IRU,current,not_for_profit,university,public,university,2013,3029-2013,87.1,86.39,92.89,14.91,15.64,7.93,1101.63,853.72,249.74,262.0,247.91000000000008,0.22503926000562807,0.22670043481023572,12.628521675486324,health,13911.958333366,0.3357153767847709,2.52584647425618,0.7859214923687291,0.2297214327282101,0.10999529781726682,16.29343835,20.59001902,0.208672982
12,Griffith University,PRV12076,IRU,current,not_for_profit,university,public,university,2013,3032-2013,87.32,86.66,90.26,13.71,15.15,8.08,1857.67,1423.31,427.95,442.0,434.3600000000001,0.23381978499948866,0.23036922596586046,15.929830034397929,mge_com,29592.367359999997,0.2547996552040641,2.8852286673537457,0.8413644323035273,0.1317455427803935,0.18098598178527073,16.29343835,20.59001902,0.208672982
13,James Cook University,PRV12077,IRU,current,not_for_profit,university,public,university,2013,1019-2013,85.51,86.03,82.82,21.66,23.01,15.01,888.71,753.43,200.24,220.0,135.2800000000001,0.15222063440267364,0.2253153447131235,13.568355631983437,health,12058.3333337,0.3578749136034924,2.637492222776338,0.7947341249639159,0.1513303386298144,0.16169315825354907,16.29343835,20.59001902,0.208672982
14,La Trobe University,PRV12132,IRU,current,not_for_profit,university,public,university,2013,3020-2013,88.28,88.81,85.94,10.77,11.56,7.97,1465.24,1123.81,224.9,247.0,341.43000000000006,0.23301984657803504,0.15349021320739265,16.75101007377631,health,24544.2500005,0.2645629832037124,2.619393984945204,0.8040523712672192,0.15081774075087204,0.18464440075527577,16.29343835,20.59001902,0.208672982
15,Macquarie University,PRV12032,IRU,former,not_for_profit,university,public,university,2013,3025-2013,86.65,87.25,84.9,10.47,11.99,6.08,1399.11,1017.55,316.6,346.0,381.55999999999995,0.2727162267441445,0.22628671083760393,18.59661484801052,soc_cult,26018.7098,0.45437987474690233,2.1835227615857313,0.6944775719345946,0.17604188429051162,0.25217234253483234,16.29343835,20.59001902,0.208672982
16,Monash University,PRV12140,Go8,current,not_for_profit,university,public,university,2013,3035-2013,91.09,91.07,91.15,8.2,9.06,5.26,3260.46,2730.58,746.12,823.0,529.8800000000001,0.16251694546168335,0.22883887549609563,12.046192527716947,mge_com,39276.12888892,0.2438122154829123,2.813153771899639,0.8331825522443774,0.18364854411491724,0.225521843689101,16.29343835,20.59001902,0.208672982
17,Murdoch University,PRV12163,IRU,current,not_for_profit,university,public,university,2013,1034-2013,80.72,79.92,85.4,18.53,19.56,11.69,724.04,537.36,149.4,159.0,186.67999999999995,0.2578310590575106,0.20634219103916912,14.094696391695212,soc_cult,10205.123975442999,0.3038893173500498,2.833719865722611,0.8313023783951676,0.11883726246474682,0.14631130394103659,16.29343835,20.59001902,0.208672982
18,Queensland University of Technology,PRV12079,ATN,former,not_for_profit,university,public,university,2013,3042-2013,87.92,87.74,88.88,11.23,11.9,7.84,2021.09,1403.94,409.95,762.0,617.1499999999999,0.30535503119603774,0.20283609339514816,15.672823822788693,mge_com,31676.1875,0.22918438337947078,3.001081825688858,0.8612628675361413,0.13782829767629073,0.15024693233679084,16.29343835,20.59001902,0.208672982
19,Royal Melbourne Institute of Technology,PRV12145,ATN,current,not_for_profit,university,public,university,2013,3034-2013,87.94,87.51,89.31,11.68,12.5,9.16,1630.19,1155.5,300.15,318.0,474.69000000000005,0.29118691686245163,0.18411964249565999,18.87806310307387,mge_com,30774.82969,0.2339560508547529,3.0309396021593544,0.8591964555159732,0.17735949719239535,0.24245868442367324,16.29343835,20.59001902,0.208672982
20,Southern Cross University,PRV12043,RUN,current,not_for_profit,university,public,university,2013,3038-2013,78.2,77.78,82.51,24.78,25.79,11.15,497.53,363.74,75.6,81.0,133.78999999999996,0.26890840753321404,0.15195063614254417,15.325834623037808,mge_com,7625.0625,0.24135867738789027,2.6683882733852786,0.8211659198262831,0.08037639035745608,0.08739272628912878,16.29343835,20.59001902,0.208672982
21,Swinburne University of Technology,PRV12148,non_aligned,current,not_for_profit,university,public,university,2013,2177-2013,79.74,78.56,84.64,21.39,22.64,16.62,1089.47,603.9,166.76,177.0,485.57000000000005,0.44569377770842705,0.15306525191147988,15.705265863217896,mge_com,17110.416,0.29292829584038166,2.6986323624576536,0.8176061784924935,0.13248508978390705,0.1938512190469244,16.29343835,20.59001902,0.208672982
22,The University of Adelaide,PRV12105,Go8,current,not_for_profit,university,public,university,2013,3010-2013,87.93,86.95,91.09,10.94,13.07,3.82,1748.1,1503.91,406.27,427.0,244.18999999999983,0.13968880498827288,0.2324066128939992,10.515248841599451,soc_cult,18381.7065,0.2211687097713153,2.898230446605221,0.8443005119456888,0.15919359282556272,0.2366719368520001,16.29343835,20.59001902,0.208672982
23,The University of Melbourne,PRV12150,Go8,current,not_for_profit,university,public,university,2013,3036-2013,94.7,94.65,94.82,6.31,7.32,3.19,3761.06,3188.16,916.84,1002.0,572.9000000000001,0.15232407885011143,0.24377170265829315,9.76513902995432,nat_phys_sci,36727.273799999995,0.22390887341058244,2.896761341589656,0.8408294507771117,0.4079757289254614,0.28463179861719007,16.29343835,20.59001902,0.208672982
24,The University of Notre Dame Australia,PRV12170,non_aligned,current,not_for_profit,university,private,university,2013,3044-2013,90.99,90.96,92.73,12.14,12.03,17.54,371.37,291.39,91.15,132.0,79.98000000000002,0.21536473059213188,0.24544255055604924,21.36979243214584,health,7936.0998155259995,0.34513270358967385,2.1071836594576556,0.7354211212232965,0.04786349153911491,0.016181402149802546,16.29343835,20.59001902,0.208672982
25,The University of Queensland,PRV12080,Go8,current,not_for_profit,university,public,university,2013,3019-2013,90.2,89.52,92.64,9.79,11.52,4.39,3356.73,2883.98,739.22,798.0,472.75,0.14083646882531511,0.22022027389751336,10.352597617324003,health,34750.875,0.23267939296492535,2.8618624302511626,0.8377052916704268,0.14157017629052507,0.21715460402076206,16.29343835,20.59001902,0.208672982
26,The University of Sydney,PRV12057,Go8,current,not_for_profit,university,public,university,2013,3040-2013,91.43,91.51,91.17,7.1,7.72,4.78,3425.29,2736.14,915.31,995.0,689.1500000000001,0.20119464337326184,0.2672211695943993,11.122111436631643,soc_cult,38096.45708278,0.2495442024974326,2.8175363204763704,0.8314609944525515,0.23989326128520658,0.2253725540599132,16.29343835,20.59001902,0.208672982
27,The University of Western Australia,PRV12169,Go8,current,not_for_profit,university,public,university,2013,1055-2013,90.83,90.67,91.73,7.84,8.1,6.02,1658.99,1533.53,481.35,520.0,125.46000000000004,0.0756243256439159,0.2901464143846557,11.058494586001121,nat_phys_sci,18345.93193323,0.3315937208935753,2.5744947447740376,0.7930655206701938,0.11996490902942718,0.1581216423285436,16.29343835,20.59001902,0.208672982
28,University College London,PRV12106,non_aligned,current,not_for_profit,university,public,university,2013,4413-2013,98.04,99.01,97.4,15.79,25.0,0.0,,,,,,,,,engineering,36.625,1.0,0.0,0.0,1.0,0.6552901023890785,16.29343835,20.59001902,0.208672982
29,University of Canberra,PRV12003,non_aligned,current,not_for_profit,university,public,university,2013,2241-2013,83.33,83.36,83.19,13.63,15.34,7.71,511.02,392.66,124.2,135.0,118.35999999999996,0.23161520097060773,0.24304332511447693,19.827260990372196,mge_com,10132.1269113,0.2600010870434309,2.8623938196308556,0.8403887029267719,0.13829771500761956,0.19787306431821677,16.29343835,20.59001902,0.208672982
30,University of Divinity,PRV12135,non_aligned,current,not_for_profit,university,public,university,2013,4331-2013,93.69,93.1,97.66,20.8,21.84,5.0,104.6,91.92,20.7,24.0,12.679999999999993,0.1212237093690248,0.19789674952198852,6.127163479923518,soc_cult,640.9013,1.0,0.0,0.0,0.48714848916674064,0.12767270092914462,16.29343835,20.59001902,0.208672982
31,University of New England,PRV12054,RUN,current,not_for_profit,university,public,university,2013,3039-2013,80.41,80.16,84.95,21.63,22.16,11.42,607.57,487.69,120.64,130.0,119.88000000000005,0.19731059795579117,0.19856148262751616,17.605584541698896,soc_cult,10696.625,0.37230201114837624,2.5936093220063805,0.7827887484793942,0.21880733408902342,0.051079195540649505,16.29343835,20.59001902,0.208672982
32,University of New South Wales,PRV12055,Go8,current,not_for_profit,university,public,university,2013,3013-2013,93.05,93.13,92.8,7.87,8.65,4.7,3332.61,2845.76,792.88,1614.0,486.8499999999999,0.14608670081407663,0.23791562769120897,10.509272561145766,mge_com,35023.30683,0.24975515682909033,2.8011299222118815,0.8327290393914395,0.2026942102999587,0.2452770970970019,16.29343835,20.59001902,0.208672982
33,University of Newcastle,PRV12056,IRU,former,not_for_profit,university,public,university,2013,3014-2013,86.32,86.45,85.31,14.66,15.72,8.15,1362.62,1066.18,267.85,281.0,296.4399999999998,0.21755148170436353,0.19656984338994,15.515881170098782,health,21142.25,0.24400785157681892,2.946727430069356,0.8475266551031739,0.15706701037023021,0.10842034315174591,16.29343835,20.59001902,0.208672982
34,University of South Australia,PRV12107,ATN,current,not_for_profit,university,public,university,2013,3027-2013,88.26,87.99,89.51,15.67,17.29,8.13,1465.74,1110.04,211.38,225.0,355.70000000000005,0.24267605441619935,0.14421384420156372,13.75097000832344,health,20155.34678,0.24946234142640736,2.9307694309534176,0.8451974970783478,0.13769988431823943,0.1755613559331674,16.29343835,20.59001902,0.208672982
35,University of Southern Queensland,PRV12081,RUN,current,not_for_profit,university,public,university,2013,2201-2013,79.77,78.61,84.25,24.87,25.87,15.18,666.06,455.47,106.02,108.0,210.58999999999992,0.316172717172627,0.15917484911269256,18.56270456115065,mge_com,12363.875,0.26027438808625936,2.7478351296217625,0.8279122168853467,0.20467895380695778,0.20617019340619344,16.29343835,20.59001902,0.208672982
36,University of Tasmania,PRV12110,non_aligned,current,not_for_profit,university,public,university,2013,3045-2013,84.6,84.17,87.07,27.15,27.15,,1240.57,1056.27,219.52,240.0,184.29999999999995,0.14856074223945442,0.17695091772330462,12.6109389232369,health,15644.752500000002,0.2670504055593081,2.9186834781986906,0.8419844143901525,0.14679922229514333,0.1482604470732279,16.29343835,20.59001902,0.208672982
37,University of Technology Sydney,PRV12060,ATN,current,not_for_profit,university,public,university,2013,3016-2013,90.37,90.96,88.51,9.19,9.89,7.25,1352.64,985.24,289.49,309.0,367.4000000000001,0.27161698604211026,0.21401851194700733,18.065181796767803,mge_com,24435.68750558,0.32651952866797873,2.859881003748713,0.8283959934001907,0.23330033857071475,0.241487646545754,16.29343835,20.59001902,0.208672982
38,University of the Sunshine Coast,PRV12082,RUN,current,not_for_profit,university,public,university,2013,3043-2013,85.84,85.49,89.86,20.47,21.21,10.87,374.38,263.35,57.3,59.0,111.02999999999997,0.2965703296116245,0.15305304770553982,17.16888589134035,health,6427.6875,0.29625740205944984,2.8042541541908013,0.8269976678204481,0.07779819725212217,0.08117227229855216,16.29343835,20.59001902,0.208672982
39,University of Wollongong,PRV12062,non_aligned,current,not_for_profit,university,public,university,2013,1058-2013,89.0,89.81,85.62,10.08,10.98,7.26,1212.28,958.2,298.56,319.0,254.07999999999993,0.20958854390074894,0.24627973735440659,13.591607907472701,mge_com,16476.834434071003,0.22542586052934507,2.897780540271718,0.8530745573099092,0.17756495312292417,0.1916252303107529,16.29343835,20.59001902,0.208672982
40,Victoria University,PRV12152,non_aligned,current,not_for_profit,university,public,university,2013,3007-2013,81.1,80.33,85.4,19.0,19.84,12.24,825.49,610.9,131.62,144.0,214.59000000000003,0.25995469357593676,0.15944469345479656,18.368534647035094,mge_com,15163.041665781,0.21950988286943832,2.576948864509535,0.8082677401368542,0.10748585512754069,0.15257905049500076,16.29343835,20.59001902,0.208672982
41,Western Sydney University,PRV12061,IRU,current,not_for_profit,university,public,university,2013,3004-2013,82.63,82.51,83.87,12.69,12.47,16.62,1419.95,1003.45,275.4,295.0,416.5,0.29332018733053977,0.19395049121447935,20.986522412761012,soc_cult,29799.8125,0.286839053098069,2.7769098898577775,0.820789132942018,0.11152964469155636,0.08415531137989543,16.29343835,20.59001902,0.208672982
42,Australian Catholic University Limited,PRV12008,non_aligned,current,not_for_profit,university,public,university,2014,3006-2014,88.9,88.81,89.76,14.86,14.64,16.8,1081.26,675.17,172.93,196.0,406.09000000000003,0.3755710929841112,0.15993378095925126,19.20594954035107,health,20766.625,0.4222881667098048,1.917127138504455,0.6853249240796833,0.13138268736494255,0.09318437637314682,16.40383963,20.91520368,0.21569783
43,Australian National University,PRV12002,Go8,current,not_for_profit,university,public,university,2014,3033-2014,93.49,93.02,94.6,8.89,10.58,2.98,1844.45,1599.98,526.65,549.0,244.47000000000003,0.13254357667597388,0.2855322724931551,7.19448887202147,soc_cult,13269.875,0.505223297129777,2.1443875766357507,0.677308648011117,0.36724159044452187,0.29147787752333765,16.40383963,20.91520368,0.21569783
44,Bond University Limited,PRV12072,non_aligned,current,not_for_profit,university,private,university,2014,3003-2014,81.23,77.07,91.1,10.3,11.75,7.1,358.48,234.86,110.35,122.0,123.62,0.34484490069180984,0.307827493862977,13.264570783120393,soc_cult,4755.083334333,0.3789847706323706,2.2896404717297236,0.749762685824012,0.30679448324276987,0.294759117497907,16.40383963,20.91520368,0.21569783
45,Carnegie Mellon University,PRV12095,non_aligned,current,not_for_profit,university,private,university,2014,4374-2014,98.85,100.0,98.84,0.97,0.0,0.98,,,,,,,,,info_tech,83.93346874,0.6021507153071344,0.9696785955922234,0.47913046272448157,1.0,0.9876602895656759,16.40383963,20.91520368,0.21569783
46,Central Queensland University,PRV12073,RUN,current,not_for_profit,university,public,university,2014,2200-2014,83.57,83.3,84.19,22.17,26.1,11.95,554.9,420.65,90.85,96.0,134.25,0.24193548387096775,0.16372319336817445,20.137367003063616,mge_com,11174.224950000002,0.31099055062427394,2.7077601617108864,0.8062646600121389,0.28085989086876223,0.3021357834755242,16.40383963,20.91520368,0.21569783
